"","ryear","rname","ryear2","uf","vyear","vname","uf","rcropf"
"1","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"2","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"3","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
"4","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19811991","RO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1981_1991.shp","RO","./output1/mun_rasters2/RO_1981_1991"
"5","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19811991","TO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1981_1991.shp","TO","./output1/mun_rasters2/TO_1981_1991"
"6","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"7","1985","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1985.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"8","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"9","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
"10","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19811991","MT","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//MT_1981_1991.shp","MT","./output1/mun_rasters2/MT_1981_1991"
"11","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19811991","RO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RO_1981_1991.shp","RO","./output1/mun_rasters2/RO_1981_1991"
"12","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19811991","TO","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//TO_1981_1991.shp","TO","./output1/mun_rasters2/TO_1981_1991"
"13","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19811996","RR","19811996","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//RR_1981_1996.shp","RR","./output1/mun_rasters2/RR_1981_1996"
"14","1986","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1986.tif","19812000","AM","19812000","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AM_1981_2000.shp","AM","./output1/mun_rasters2/AM_1981_2000"
"15","1987","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1987.tif","19801991","AC","19801991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AC_1980_1991.shp","AC","./output1/mun_rasters2/AC_1980_1991"
"16","1987","/home/georod/projects/def-mfortin/georod/data/amazon/lcover_gee/mapbiomas-brazil-collection-90-1987.tif","19811991","AP","19811991","/home/georod/projects/def-mfortin/georod/data/amazon/shp/municipalities2//AP_1981_1991.shp","AP","./output1/mun_rasters2/AP_1981_1991"
